Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,55.07976112486714,57.20236165062442,55.05277654509851,57.148399353027344,24282400,0.0,0.0
2022-01-04 00:00:00-05:00,57.67905122325752,59.53183696857141,57.652070072441894,59.29798889160156,38584000,0.0,0.0
2022-01-05 00:00:00-05:00,59.810647514428986,60.80899120234685,59.7926623690167,60.035499572753906,34033300,0.0,0.0
2022-01-06 00:00:00-05:00,61.15976043790402,61.59147941319003,60.3233104986139,61.44757080078125,30668500,0.0,0.0
2022-01-07 00:00:00-05:00,61.62745300622349,62.22106577130375,61.141778568173244,61.95124053955078,23985400,0.0,0.0
2022-01-10 00:00:00-05:00,62.032189332909645,62.212068241707456,61.11478905699548,61.58248519897461,22760300,0.0,0.0
2022-01-11 00:00:00-05:00,61.96023186582466,64.21774842443162,61.68141751282011,64.17277526855469,32936100,0.0,0.0
2022-01-12 00:00:00-05:00,63.98390579223633,64.58650770523276,63.53420164308542,63.98390579223633,23045100,0.0,0.0
2022-01-13 00:00:00-05:00,63.96592638050687,64.37965341138627,63.23740092744539,63.525211334228516,21043200,0.0,0.0
2022-01-14 00:00:00-05:00,63.54320076581581,64.8923132794767,63.49822760391735,64.6404800415039,23012900,0.0,0.0
2022-01-18 00:00:00-05:00,65.49491168786565,66.44828228358656,64.76639316562162,65.728759765625,32841200,0.0,0.0
2022-01-19 00:00:00-05:00,66.3313657283969,66.43030119572674,65.25207845454182,65.75574493408203,26431600,0.0,0.0
2022-01-20 00:00:00-05:00,65.20710912367127,66.8890053051601,64.99125302860551,65.89965057373047,26774600,0.0,0.0
2022-01-21 00:00:00-05:00,65.81869785846386,65.81869785846386,63.89396469834927,64.91029357910156,35995200,0.0,0.0
2022-01-24 00:00:00-05:00,63.75005300867896,65.72875523608225,62.78768647499481,65.46792602539062,41507000,0.0,0.0
2022-01-25 00:00:00-05:00,65.28805051625623,67.67148407760259,64.20876321320267,67.39266967773438,39278400,0.0,0.0
2022-01-26 00:00:00-05:00,67.84237824890783,68.35504078028228,66.09752369632663,66.70912170410156,35252400,0.0,0.0
2022-01-27 00:00:00-05:00,67.8693483796905,68.36402568134085,66.54721710249838,67.56355285644531,29174700,0.0,0.0
2022-01-28 00:00:00-05:00,67.42863650953088,68.01325323496086,66.51123626668623,67.70745086669922,30595700,0.0,0.0
2022-01-31 00:00:00-05:00,67.42864135417622,68.73278064450176,66.79905142696259,68.31905364990234,36085500,0.0,0.0
2022-02-01 00:00:00-05:00,68.75975309667082,73.3107631853893,68.59785934866203,72.69916534423828,61033100,0.0,0.0
2022-02-02 00:00:00-05:00,72.0066187916378,72.68117494627926,71.18816089221502,72.51029205322266,30299300,0.0,0.0
2022-02-03 00:00:00-05:00,72.03360980385516,72.23148073422256,71.07124316592902,71.66485595703125,28529400,0.0,0.0
2022-02-04 00:00:00-05:00,72.73515152041519,74.22816572669832,72.73515152041519,73.22083282470703,32197500,0.0,0.0
2022-02-07 00:00:00-05:00,72.97798877267034,74.72284306713513,72.52828462353536,74.10224914550781,34949200,0.0,0.0
